test_id,category,sex,experience,bw,step,lift,weight_lb,sets,reps,decision,reason,adj
beginnerLP-P1A-03-FB_A-00,progression,male,beginner,176.0,2.5,bench,110.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-03-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,170.0,1,5,increase,novice_linear_progression,none
beginnerLP-P1A-03-FB_B-01,progression,male,beginner,176.0,2.5,ohp,72.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-03-FB_A-02,progression,male,beginner,176.0,2.5,squat,170.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-03-FB_A-02,progression,male,beginner,176.0,2.5,bench,112.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-04-FB_A-00,progression,male,beginner,176.0,2.5,squat,162.5,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1A-04-FB_A-00,progression,male,beginner,176.0,2.5,bench,107.5,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1A-04-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,175.0,1,5,increase,novice_linear_progression,none
beginnerLP-P1A-04-FB_B-01,progression,male,beginner,176.0,2.5,ohp,75.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-04-FB_A-02,progression,male,beginner,176.0,2.5,squat,155.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1A-04-FB_A-02,progression,male,beginner,176.0,2.5,bench,102.5,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1A-05-FB_A-00,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-05-FB_A-00,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-05-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,175.0,1,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-05-FB_B-01,progression,male,beginner,176.0,2.5,ohp,75.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-05-FB_A-02,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-05-FB_A-02,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-06-FB_A-00,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,first_grinder_hold,none
beginnerLP-P1A-06-FB_A-00,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,first_grinder_hold,none
beginnerLP-P1A-06-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,175.0,1,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-06-FB_B-01,progression,male,beginner,176.0,2.5,ohp,75.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-06-FB_A-02,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,first_grinder_hold,none
beginnerLP-P1A-06-FB_A-02,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,first_grinder_hold,none
beginnerLP-P1A-07-FB_A-00,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-07-FB_A-00,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-07-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,175.0,1,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-07-FB_B-01,progression,male,beginner,176.0,2.5,ohp,75.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-07-FB_A-02,progression,male,beginner,176.0,2.5,squat,155.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-07-FB_A-02,progression,male,beginner,176.0,2.5,bench,102.5,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-08-FB_A-00,progression,male,beginner,176.0,2.5,squat,140.0,2,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-08-FB_A-00,progression,male,beginner,176.0,2.5,bench,92.5,2,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-08-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,157.5,1,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-08-FB_B-01,progression,male,beginner,176.0,2.5,ohp,67.5,2,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-08-FB_A-02,progression,male,beginner,176.0,2.5,squat,125.0,2,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-08-FB_A-02,progression,male,beginner,176.0,2.5,bench,82.5,2,5,deload,early_stall_deload_10pct,deload
beginnerLP-P1A-09-FB_A-00,progression,male,beginner,176.0,2.5,squat,130.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-09-FB_A-00,progression,male,beginner,176.0,2.5,bench,85.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-09-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,162.5,1,5,increase,novice_linear_progression,none
beginnerLP-P1A-09-FB_B-01,progression,male,beginner,176.0,2.5,ohp,70.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-09-FB_A-02,progression,male,beginner,176.0,2.5,squat,130.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1A-09-FB_A-02,progression,male,beginner,176.0,2.5,bench,85.0,3,5,hold,hold_after_high_effort_or_miss,none
beginnerLP-P1B-00-FB_A-00,progression,female,intermediate,145.0,5.0,squat,155.0,3,5,hold,start_point,none
beginnerLP-P1B-00-FB_A-00,progression,female,intermediate,145.0,5.0,bench,95.0,3,5,hold,start_point,none
beginnerLP-P1B-00-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,185.0,1,5,hold,start_point,none
beginnerLP-P1B-00-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,65.0,3,5,hold,start_point,none
beginnerLP-P1B-00-FB_A-02,progression,female,intermediate,145.0,5.0,squat,160.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-00-FB_A-02,progression,female,intermediate,145.0,5.0,bench,100.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-01-FB_A-00,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-01-FB_A-00,progression,female,intermediate,145.0,5.0,bench,105.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-01-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,190.0,1,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-01-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,70.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-01-FB_A-02,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-01-FB_A-02,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,increase,increase_only_when_clear_surplus_coarse_step,none
beginnerLP-P1B-02-FB_A-00,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-02-FB_A-00,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-02-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,190.0,1,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-02-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,70.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-02-FB_A-02,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-02-FB_A-02,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_A-00,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_A-00,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,190.0,1,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,70.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_A-02,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-03-FB_A-02,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_A-00,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_A-00,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,190.0,1,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,70.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_A-02,progression,female,intermediate,145.0,5.0,squat,165.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-04-FB_A-02,progression,female,intermediate,145.0,5.0,bench,110.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-05-FB_A-00,progression,female,intermediate,145.0,5.0,squat,155.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-05-FB_A-00,progression,female,intermediate,145.0,5.0,bench,105.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-05-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,180.0,1,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-05-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,65.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-05-FB_A-02,progression,female,intermediate,145.0,5.0,squat,145.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-05-FB_A-02,progression,female,intermediate,145.0,5.0,bench,100.0,3,5,decrease_small,readiness_cut_5pct,readinessCut
beginnerLP-P1B-06-FB_A-00,progression,female,intermediate,145.0,5.0,squat,145.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-06-FB_A-00,progression,female,intermediate,145.0,5.0,bench,100.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-06-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,180.0,1,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-06-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,65.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-06-FB_A-02,progression,female,intermediate,145.0,5.0,squat,145.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-06-FB_A-02,progression,female,intermediate,145.0,5.0,bench,100.0,3,5,hold,hold_due_to_coarse_step_or_effort,none
beginnerLP-P1B-07-FB_A-00,progression,female,intermediate,145.0,5.0,squat,130.0,2,5,deload,coarse_plate_deload,deload
beginnerLP-P1B-07-FB_A-00,progression,female,intermediate,145.0,5.0,bench,90.0,2,5,deload,coarse_plate_deload,deload
beginnerLP-P1B-07-FB_B-01,progression,female,intermediate,145.0,5.0,deadlift,160.0,1,5,deload,coarse_plate_deload,deload
beginnerLP-P1B-07-FB_B-01,progression,female,intermediate,145.0,5.0,ohp,60.0,2,5,deload,coarse_plate_deload,deload
beginnerLP-P1B-07-FB_A-02,progression,female,intermediate,145.0,5.0,squat,115.0,2,5,deload,coarse_plate_deload,deload
beginnerLP-P1B-07-FB_A-02,progression,female,intermediate,145.0,5.0,bench,80.0,2,5,deload,coarse_plate_deload,deload
messy-P2-00,break_recovery,male,beginner,190.0,2.5,squat,165.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-00,break_recovery,male,beginner,190.0,2.5,bench,115.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-00,break_recovery,male,beginner,190.0,2.5,deadlift,205.0,1,5,hold,hold_due_to_messy_adherence,none
messy-P2-01,break_recovery,male,beginner,190.0,2.5,squat,157.5,3,5,decrease_small,break_reset_5pct,breakReset
messy-P2-01,break_recovery,male,beginner,190.0,2.5,bench,110.0,3,5,decrease_small,break_reset_5pct,breakReset
messy-P2-01,break_recovery,male,beginner,190.0,2.5,deadlift,195.0,1,5,decrease_small,break_reset_5pct,breakReset
messy-P2-02,break_recovery,male,beginner,190.0,2.5,squat,157.5,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-02,break_recovery,male,beginner,190.0,2.5,bench,110.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-02,break_recovery,male,beginner,190.0,2.5,deadlift,195.0,1,5,hold,hold_due_to_messy_adherence,none
messy-P2-03,break_recovery,male,beginner,190.0,2.5,squat,150.0,3,5,decrease_small,break_reset_5pct,breakReset
messy-P2-03,break_recovery,male,beginner,190.0,2.5,bench,105.0,3,5,decrease_small,break_reset_5pct,breakReset
messy-P2-03,break_recovery,male,beginner,190.0,2.5,deadlift,185.0,1,5,decrease_small,break_reset_5pct,breakReset
messy-P2-04,break_recovery,male,beginner,190.0,2.5,squat,150.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-04,break_recovery,male,beginner,190.0,2.5,bench,105.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-04,break_recovery,male,beginner,190.0,2.5,deadlift,185.0,1,5,hold,hold_due_to_messy_adherence,none
messy-P2-05,break_recovery,male,beginner,190.0,2.5,squat,135.0,3,5,decrease_small,break_reset_10pct_strong_return,breakReset
messy-P2-05,break_recovery,male,beginner,190.0,2.5,bench,95.0,3,5,decrease_small,break_reset_10pct_strong_return,breakReset
messy-P2-05,break_recovery,male,beginner,190.0,2.5,deadlift,167.5,1,5,decrease_small,break_reset_10pct_strong_return,breakReset
messy-P2-06,break_recovery,male,beginner,190.0,2.5,squat,135.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-06,break_recovery,male,beginner,190.0,2.5,bench,95.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-06,break_recovery,male,beginner,190.0,2.5,deadlift,167.5,1,5,hold,hold_due_to_messy_adherence,none
messy-P2-07,break_recovery,male,beginner,190.0,2.5,squat,115.0,3,5,decrease_small,break_reset_15pct,breakReset
messy-P2-07,break_recovery,male,beginner,190.0,2.5,bench,80.0,3,5,decrease_small,break_reset_15pct,breakReset
messy-P2-07,break_recovery,male,beginner,190.0,2.5,deadlift,142.5,1,5,decrease_small,break_reset_15pct,breakReset
messy-P2-08,break_recovery,male,beginner,190.0,2.5,squat,115.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-08,break_recovery,male,beginner,190.0,2.5,bench,80.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-08,break_recovery,male,beginner,190.0,2.5,deadlift,142.5,1,5,hold,hold_due_to_messy_adherence,none
messy-P2-09,break_recovery,male,beginner,190.0,2.5,squat,115.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-09,break_recovery,male,beginner,190.0,2.5,bench,80.0,3,5,hold,hold_due_to_messy_adherence,none
messy-P2-09,break_recovery,male,beginner,190.0,2.5,deadlift,142.5,1,5,hold,hold_due_to_messy_adherence,none
microload-P3-wk00-x0-gymA,progression,female,intermediate,128.0,1.25,bench,120.0,4,6,hold,microload_start,none
microload-P3-wk00-x1-gymB,progression,female,intermediate,128.0,2.5,ohp,70.0,4,6,hold,microload_start,none
microload-P3-wk00-x2-gymA,progression,female,intermediate,128.0,1.25,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk01-x0-gymB,progression,female,intermediate,128.0,2.5,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk01-x1-gymA,progression,female,intermediate,128.0,1.25,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk01-x2-gymB,progression,female,intermediate,128.0,2.5,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk02-x0-gymA,progression,female,intermediate,128.0,1.25,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk02-x1-gymB,progression,female,intermediate,128.0,2.5,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk02-x2-gymA,progression,female,intermediate,128.0,1.25,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk03-x0-gymB,progression,female,intermediate,128.0,2.5,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk03-x1-gymA,progression,female,intermediate,128.0,1.25,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk03-x2-gymB,progression,female,intermediate,128.0,2.5,bench,120.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk04-x0-gymA,progression,female,intermediate,128.0,1.25,bench,117.5,4,6,decrease_small,readiness_cut_small_press,readinessCut
microload-P3-wk04-x1-gymB,progression,female,intermediate,128.0,2.5,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk04-x2-gymA,progression,female,intermediate,128.0,1.25,bench,117.5,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk05-x0-gymB,progression,female,intermediate,128.0,2.5,bench,117.5,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk05-x1-gymA,progression,female,intermediate,128.0,1.25,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk05-x2-gymB,progression,female,intermediate,128.0,2.5,bench,117.5,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk06-x0-gymA,progression,female,intermediate,128.0,1.25,bench,117.5,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk06-x1-gymB,progression,female,intermediate,128.0,2.5,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk06-x2-gymA,progression,female,intermediate,128.0,1.25,bench,117.5,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk07-x0-gymB,progression,female,intermediate,128.0,2.5,bench,115.0,4,6,decrease_small,readiness_cut_small_press,readinessCut
microload-P3-wk07-x1-gymA,progression,female,intermediate,128.0,1.25,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk07-x2-gymB,progression,female,intermediate,128.0,2.5,bench,115.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk08-x0-gymA,progression,female,intermediate,128.0,1.25,bench,115.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk08-x1-gymB,progression,female,intermediate,128.0,2.5,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk08-x2-gymA,progression,female,intermediate,128.0,1.25,bench,115.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk09-x0-gymB,progression,female,intermediate,128.0,2.5,bench,115.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk09-x1-gymA,progression,female,intermediate,128.0,1.25,ohp,70.0,4,6,hold,double_progression_hold_until_clear_surplus,none
microload-P3-wk09-x2-gymB,progression,female,intermediate,128.0,2.5,bench,115.0,4,6,hold,double_progression_hold_until_clear_surplus,none
cut-P4-wk00,readiness,male,intermediate,204.5,2.5,squat,270.0,3,8,hold,percent_based_maintenance,none
cut-P4-wk00,readiness,male,intermediate,204.5,2.5,bench,182.5,3,8,hold,percent_based_maintenance,none
cut-P4-wk01,readiness,male,intermediate,204.4,2.5,squat,270.0,3,8,hold,percent_based_maintenance,none
cut-P4-wk01,readiness,male,intermediate,204.4,2.5,bench,182.5,3,8,hold,percent_based_maintenance,none
cut-P4-wk02,readiness,male,intermediate,203.6,2.5,squat,270.0,3,8,hold,percent_based_maintenance,none
cut-P4-wk02,readiness,male,intermediate,203.6,2.5,bench,182.5,3,8,hold,percent_based_maintenance,none
cut-P4-wk03,readiness,male,intermediate,203.4,2.5,squat,270.0,3,8,hold,false_fatigue_hold_strength_maint,none
cut-P4-wk03,readiness,male,intermediate,203.4,2.5,bench,182.5,3,8,hold,false_fatigue_hold_strength_maint,none
cut-P4-wk04,readiness,male,intermediate,203.0,2.5,squat,270.0,3,8,hold,percent_based_maintenance,none
cut-P4-wk04,readiness,male,intermediate,203.0,2.5,bench,182.5,3,8,hold,percent_based_maintenance,none
cut-P4-wk05,readiness,male,intermediate,202.1,2.5,squat,292.5,4,5,hold,percent_based_maintenance,none
cut-P4-wk05,readiness,male,intermediate,202.1,2.5,bench,200.0,4,5,hold,percent_based_maintenance,none
cut-P4-wk05,readiness,male,intermediate,202.1,2.5,deadlift,365.0,3,3,hold,percent_based_maintenance,none
cut-P4-wk06,readiness,male,intermediate,202.0,2.5,squat,290.0,4,5,hold,percent_based_maintenance,none
cut-P4-wk06,readiness,male,intermediate,202.0,2.5,bench,197.5,4,5,hold,percent_based_maintenance,none
cut-P4-wk06,readiness,male,intermediate,202.0,2.5,deadlift,360.0,3,3,hold,percent_based_maintenance,none
cut-P4-wk07,readiness,male,intermediate,201.1,2.5,squat,290.0,4,5,hold,percent_based_maintenance,none
cut-P4-wk07,readiness,male,intermediate,201.1,2.5,bench,197.5,4,5,hold,percent_based_maintenance,none
cut-P4-wk07,readiness,male,intermediate,201.1,2.5,deadlift,360.0,3,3,hold,percent_based_maintenance,none
cut-P4-wk08,readiness,male,intermediate,200.6,2.5,squat,282.5,4,5,decrease_small,cut_fatigue_small_regression,readinessCut
cut-P4-wk08,readiness,male,intermediate,200.6,2.5,bench,192.5,4,5,decrease_small,cut_fatigue_small_regression,readinessCut
cut-P4-wk08,readiness,male,intermediate,200.6,2.5,deadlift,350.0,3,3,decrease_small,cut_fatigue_small_regression,readinessCut
cut-P4-wk09,readiness,male,intermediate,200.4,2.5,squat,290.0,4,5,hold,percent_based_maintenance,none
cut-P4-wk09,readiness,male,intermediate,200.4,2.5,bench,197.5,4,5,hold,percent_based_maintenance,none
cut-P4-wk09,readiness,male,intermediate,200.4,2.5,deadlift,360.0,3,3,hold,percent_based_maintenance,none
variations-P5-00-normal,substitution,female,intermediate,152.0,2.5,squat,205.0,3,5,hold,variation_or_sub_start,none
variations-P5-00-normal,substitution,female,intermediate,152.0,2.5,bench,125.0,3,5,hold,variation_or_sub_start,none
variations-P5-00-normal,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,8,hold,variation_or_sub_start,none
variations-P5-01-normal,substitution,female,intermediate,152.0,2.5,squat,205.0,3,5,hold,hold_under_uncertainty_variation,none
variations-P5-01-normal,substitution,female,intermediate,152.0,2.5,bench,125.0,3,5,hold,hold_under_uncertainty_variation,none
variations-P5-01-normal,substitution,female,intermediate,152.0,2.5,trap_bar_deadlift,245.0,3,4,hold,variation_or_sub_start,none
variations-P5-02-sub_chain1,substitution,female,intermediate,152.0,2.5,leg_press,270.0,3,6,hold,variation_or_sub_start,none
variations-P5-02-sub_chain1,substitution,female,intermediate,152.0,2.5,bench,125.0,3,6,hold,hold_under_uncertainty_variation,none
variations-P5-02-sub_chain1,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,8,hold,hold_under_uncertainty_variation,none
variations-P5-03-sub_chain2,substitution,female,intermediate,152.0,2.5,hack_squat,230.0,3,8,hold,variation_or_sub_start,none
variations-P5-03-sub_chain2,substitution,female,intermediate,152.0,2.5,bench,125.0,3,6,hold,hold_under_uncertainty_variation,none
variations-P5-03-sub_chain2,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,10,hold,hold_under_uncertainty_variation,none
variations-P5-04-variation_primary,substitution,female,intermediate,152.0,2.5,front_squat,175.0,4,5,hold,variation_or_sub_start,none
variations-P5-04-variation_primary,substitution,female,intermediate,152.0,2.5,pause_bench,115.0,4,5,hold,variation_or_sub_start,none
variations-P5-04-variation_primary,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,8,hold,hold_under_uncertainty_variation,none
variations-P5-05-variation_primary,substitution,female,intermediate,152.0,2.5,front_squat,175.0,4,5,hold,hold_under_uncertainty_variation,none
variations-P5-05-variation_primary,substitution,female,intermediate,152.0,2.5,pause_bench,115.0,4,5,hold,hold_under_uncertainty_variation,none
variations-P5-05-variation_primary,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,8,hold,hold_under_uncertainty_variation,none
variations-P5-06-variation_primary,substitution,female,intermediate,152.0,2.5,front_squat,175.0,4,5,hold,hold_under_uncertainty_variation,none
variations-P5-06-variation_primary,substitution,female,intermediate,152.0,2.5,pause_bench,115.0,4,5,hold,hold_under_uncertainty_variation,none
variations-P5-06-variation_primary,substitution,female,intermediate,152.0,2.5,rdl,185.0,3,8,hold,hold_under_uncertainty_variation,none
variations-P5-07-variation_primary,substitution,female,intermediate,152.0,2.5,front_squat,175.0,4,5,hold,hold_under_uncertainty_variation,none
